autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
fromSantaBarbara,"Santa Barbara, CA","I was pleasantly surprised, after learning our equator tour was not going to be at the ""center of the world"" but was at this location instead.  I enjoyed their displays of equator phenomenon.  Luckily we were there on the day of the equinox, so it was extra special.  Shadows", September 2018,Although not as well know; apparently actually on the equator per GPS
Karson5,,"This museum was amazing! It's neat to go to Mitad del Mundo, but do not just go to it. You have to check this one out.   First, you will need to exit Mitad del Mundo (it’s fenced in). As you exit turn to the left and walk down the left side of the street (the sidewalk gets", July 2018,Don't Miss This!
Daniel C,"Manchester, United Kingdom","It’s a lot less grand than you would expect for the middle of the world. Located up a dirt track in the middle of nowhere. But it’s better than the Mitad del Mundo monument id visit this (real 0’0”) over the monument. It’s cheap ish and quite fun hearing all about the equator,", August 2018,Weird but worth it
S F,,"I unfortunately have mixed feelings about this museum and am highly skeptical of the 'exhibits' that are supposed to prove that you are on the equator.  1. Both my Galaxy and iPhone GPS did NOT show Latitude 0,0,0 on the red line that is supposed to be at Latitude 0,0,0. My GPS", September 2018,I have mixed feelings about Intinan Museum
lindakost,"Algonquin, Illinois","We arrived late at the museum but they stayed open late and we ended up having a private tour with the owner’s daughter Carolina - it was really terrific.  The museum / park is intimate in design,  thoughtfully laid out, informative and interesting.  Carolina showed us the", August 2018,Museo Initnan
lobstaluva,"Springfield, Massachusetts","We spent a couple of hours here on a guided tour and found it to be both educational and childishly fun.  One section brought us through typical dwellings of the indigenous Wuaorani tribe with displays of their furnishings, tools and weapons.  We learned why the anaconda is", August 2018,Interesting and Fun
MalickNdieng,Boston,"If you have any kind of science background, this place will drive you crazy.  The pseudoscientifical displays concerning the equator (water draining, balancing, etc.) are not accurate, and that's being generous.  It's not even the real equator (it's across the road a bit).  The", July 2018,Better options in Quito than this.
Danielle S,"Atuntaqui, Ecuador","Actual gps ecuator, meaning the science experiments actually work. Bilingual tour guides, super interesting. Entrance isn’t obvious, just a sign and dirt road, but keep looking.", August 2018,Real deal ecuator
lizethmoran1992,"Inglewood, California","Visiting the Intinan Museum is a must if you ever find yourself in Quito, Ecuador. You stand in the middle of the world! Who wouldn't want to experience that? You can (try) walking in a straight line on the equator, balance an egg on a nail, and watch water change direction.  ", June 2018,A must!
Adib Farid,"Sao Paulo, SP","It is the real latitude 00” measured by GPS!! You see many details of the Equator culture and the visit is guided! Simple, fast  and nice! Very close to the Mitad del Mondo Museum! Entrance us 4", August 2018,Fanny visit
Joe S,"Cleveland, Ohio",Our tour guide gave us the choice of going to the standard middle of the world memorial or going to this museum/monument. It's a quaint but very informative and fun experience learning about the equator but also Ecuadorian culture and history. The scientist in you will love the, August 2018,Fun way to learn while at the Equator
lchh98,"New York City, New York","Visiting this museum was very informative. Our tour guide was knowledgeable and, at the same time, funny. Great place to visit while in Quito.", July 2018,Wonderful learning experience.
cuquiarcos,"Quito, Ecuador","Intiñán Museum is a small, but very complete museum.  It's located where the real Equatorial line crosses and divides the world into northern and southern hemispheres.  The tour guide shows you the different spaces of the museum where you can learn and appreciate some aspects of", August 2018,Awesome museum to learn about Ecuadorian culture and the importance of Ecuador's location.
Carrie L,"Maui, Hawaii",A must do while in Quito. Very inexpensive to visit and great tour guide! Really neat to see some cool experiments too!, August 2018,The real thing!
Daniel F,"London, United Kingdom","Supposedly the other museum isn’t actually on the equator, as they measured it wrong previously, whereas this place is now meant to be on the equator.  They have some experiments to try and prove this to you, which are fun, but I doubt their authenticity!  It’s quite far out of", September 2017,Middle of the world
Patricia Colleen Murphy,"Phoenix, Arizona","It's easy to find videos of folks enjoying the many experiments that show life is strange at the equator. It was even more fun to see them in real life! We watched water flow straight down the drain, we balanced an egg on its end, and we walked the equator line where gravity", July 2018,Cheese Anyone?
Ali921,"Edinburgh, United Kingdom","This location is more accurate than the one up the road but also not quite on the actual equator but don't let that spoil the fun and fun it is. Don't take it too serious. The guide takes you through a series of tasks, no spoilers from us. Just make sure you go. It also houses", July 2018,Fun place to visit
barbara_uNovaGorica,"Nova Gorica, Slovenia","Nice museum showing a lot of interesting things about Ecuador. You can find a little bit of jungle life, a lot of local flora and of course you can attend interesting experiments. Don't miss it!!!", April 2018,EXCELLENT PLACE
sobeum77,"Boston, Massachusetts","This tour was totally cheesy, but still fun. They have shrunken heads, activities that they say demonstrate the properties of being on the equator, but they also have some interesting history of the native people and the tour guides were fun.", August 2018,Cheesy but fun
Shannii,"Brisbane, Australia",Loved the historical information provided here and the fun activities to participate in. The chocolate tour was also very interesting. , June 2018,What a fun little place to visit
Hunter H,"Bethesda, Maryland","See how water circulation at the equator, the northern hemisphere and the Southern Hemispheres. Maybe you can balance an egg on a nail head at the equator, I couldn’t but many did.  Did you know you weigh 2.2 pounds less on the equator line? The bad news is that those 2.2 pounds", August 2018,Interactive Museum
Katcraze,"Vilnius, Lithuania","This is a must see. There are apparently many places to go see the equator, but this particular place is an actual museum where for $4 entrance fee, you will have an included English speaking guide and tour that will last approximately one hour.  Very informative and really fun", July 2018,So fun! Don't miss your chance to see the equator!
LovesToTravel918,"Caye Caulker, Belize","You have a guide that takes you to the displays and explains them.  They go over the various cultures that settled in the area.  The equator line is also there and they demonstrate how water flows on the equator, north of it and south of it.  It's an interesting visit.", June 2018,Interesting
Brett E,"Durant, Oklahoma",I expected this to be kinda cheesy (and it was) but it was still kinda fun.  Plus you can get your picture taken on the TRUE equator and they will give you an extra stamp in your passport.  It was not crowded at all when we were there (in the middle of June)., June 2018,Fun if you don't take it too seriously
Juan R,"Quito, Ecuador",Enjoy the weather but more important grab some new knowledge that you can only find in the inside of this fun in situ museum. And of course don't forget to try to become an egg master. , July 2018,The best experience in the middle of the world.
Benjamin H,,"If you have just a day or two in Quito, maybe skip this. Kind of an odd, jam-packed stab at all of Ecuadorian history, followed by... the equator itself. If you can find cheap transportation out, though, I say go for it! Interesting to just be on the spot, even if the", July 2018,Touristy but worth it.
Vijay K,,We stopped at this place during our Quito city tour. Paid around 4 USD per person for a guided tour. Learned a lot of about the native culture. Everyone had a fun time performing hands-on activity on both sides of the equatorial line. We spent around 2 hours at this place. Kids, June 2018,Great place for hands on activity for the entire family
GabrielHackmann,"Hazerswoude Rijndijk, The Netherlands",Found my first geocache in Ecuador about 400 meters from the upper station. Afterwards I was on the awing from which point you have a nice view over Quito., July 2018,Geocaching on the Teleférico
OtavaloHerewecome,"Silver Spring, Maryland","This used to be one of our favorite places to visit.  We have brought so many people here over the years.  This year, however, we did not enjoy it.  There were just too many people!  They need to do a MUCH better job of controlling the number of people.  It was so crowded we", July 2018,This used to be so much better.  We did not enjoy.
Scott W,,Took the family when we had a day to spare on the way to the Galapagos. Good fun and a bit quirky but worth and hour., August 2017,Entertaining
angelfish2222,"London, United Kingdom",The Intinan museum is situated on the GPS confirmed equator. Its a fun experience as you pay a guide to walk you around the little museum there. They talk you through some history of Quito and the Incas & even pre-incas. There are examples of the type of homes they lived in and, May 2018,A novel worthwhile experience
_lena,"Bogota, Colombia","Interpretation is all about adapting you speech to your audience and our guide mastered it fantastically! We are Frenc-Colombian travelling with 2 kids of 6 and 8 years old, and the visit has been so fun for each one of us! Among the best museums we have visited!", January 2018,Definitely the place to go with young children!
KRUXED,Georgia,"If you are looking to visit an equator attraction, you should visit this one while visiting Mitad del Mundo. Apparently this site is the GPS verified equator, and is also a great museum.   We had a short trip to Ecuador and this museum offers exhibits for all of Ecuador and it’s", July 2018,Very well done - would recommend
RayICue,"Cornelius, North Carolina","This is a fun museum and probably even more fun for kids .  Certainly should visit if in Quito. Tour guide was ok,  but somewhat hard to follow ;  I missed most of his stories by not understanding or too many people around and I just couldn’t hear him .  But it was a must see", July 2018,Fun stop all ages 
Rebecca W,,Make time to stop by the Intanan Museum.  Our guide was interesting and we learned a lot.  The tour was very interactive.  Visitors can balance an egg on the equator and take part in several other science experiments.  Everyone enjoyed this stop!, June 2018,Informative
SFO45,Virginia,"This outside walkaround museum is located a couple of hundred yards from the equator monument of the Mitad del Mundo, and is purported to be on the ""real"" equator line.  The guides have you do ""scientific"" experiments dealing with coriolis force, etc., on the line, but the", June 2018,At the Real Equator Line
Shoshanna E,"Fort Lauderdale, Florida",We went for a day trip to the museum from Quito Airport. It is less than an hour ride through beautiful terrain. It was an unexpected surprise as our last visit we went to the Mitad del Mundo Monument which was boring and not really on the equator line. The Intinan Museum is on, June 2018,A lot of scientific fun for our grandkids
Katie B,"Charlotte, North Carolina","Our tour guide brought us here instead of to the more famous monument, and I’m glad he did. This was a fun experience for teens and adults (younger kids will love it too, but teens can be hard to impress and ours got a kick out of this.) There are some simple exhibits about", June 2018,Fun and games 
jjsanders1918@gmail.com,"Southwest, Pennsylvania","It was well worth our time to visit this museum. The guide spoke excellent English; he did numerous activities to show the effect the equator on water flow, balance, etc.  There also was much information on the indigenous people of this region. It’s a good idea to get there", June 2018,Informative
Dave B,"Waterloo, Ontario","Busy place. We had fun. They offer a guide to take groups around various exhibits mostly about indigenous peoples.   The highlight is about five activities about the equator including the official equator line. Entertaining and interactive ... but fake. For example, they show", June 2018,Fun tourist trap with fake info
Alicia C,"Greenville, North Carolina","We enjoyed all of the activities that demonstrate the forces acting at the equator.  Balancing an egg, trying to walk without wobbling, watching water drain in opposite directions! ", June 2018,Fun experiencing the equatorial forces
NewWorldWineTours,"Toronto, Canada","This museum is next to the much larger and shinier Mitad del Mundo. Here you learn about tribes, seasons, and tradition of the people of Ecuador. You also perform experiments based on the equator and how it affects water, balance, etc. To be honest the mitad del mundo started", April 2018,"Bit cheesy but good, memorable fun"
WRTiii,"Montgomery, Alabama","Have been here several times.  Always enjoy a family picture ""on the line""  The tour guides are always knowledgeable and friendly. The experiments at the equator are always fun.", June 2018,Great introduction to Andean culture and the Equator
Karl K,"Klamath Falls, Oregon",This place was well worth a quick visit. Excellent tour. Interesting cultural insights. My favorite part was the part where we are right on the equator and they had us do various experiments to show us the forces north and south of the equator. I recommend this place, June 2018,Educational!
colfal8,"Durham, North Carolina",This attraction is truly located on the equator. There is an informative guided tour available. Besides the information on the equator phenomenon presented there is information presented about the local indigenous peoples. This site also has a display on the cacao plant. , June 2018,True Equator
Michelle2012,"El Paso, Texas","We enjoyed this tour and its activity.  Did not feel it was tacky as mentioned by another review. We did not go to the other Mitad monument so cannot compare. But we do recommend this one.  If you come to Ecuador, you really should go to the equator.", June 2018,"Nice, short, fun tour"
Vacati0nMania,"Hartford, Connecticut","This was a great tour. Very interesting history about the indigenous people who identified the location of the center of the world, which the Europeans didn't believe. Tour also included very interesting information about the equator, magnetic forces on the poles, and more.", May 2018,Fascinating look at equator and its discovery
TimothyRich,,4 dollars for entry and a tour around this small outdoor museum. I really enjoyed it. Nice explanation from the guides about various exhibits. Not sure all the experiments are particularly scientifically rigorous but it was interesting and fun., June 2018,Great attraction
Bob G,Georgia,"This is the place to balance an egg on a nail, see water circle in different directions on either side of the line and fall straight over the equator, find local art and have a general good time with a bit of history thrown in. Minimal admission & lots of fun.", May 2018,May not be the actual but lots of fun
DianaUIO,"Quito, Ecuador","This is a very fun museum.  They show you the different regions of Ecuador with their distinctive aspects, as well as teach you a bit about why, at the big scale, this imaginary line is that important.  I truly recommend it. ", May 2018,A ludic museum to learn about Ecuador
dixiepeach,"Kansas City, Missouri","This is one of those educational places that everyone in the family can appreciate.  There’s quite a lot to see.  I suggest allowing two hours.  There are exhibits about indigenous lifestyle, an example  of an indigenous home,  hands on science experiments relating to", May 2018,Stop for a little taste of science and history 
MustSeeThis,"Philadelphia, PA","Although this place is admittedly kitschy, it did entertain us enormously. First, a girl bursts out of the gift shop and exhorts everyone to join her in a quick, frenetic line dance, then you tromp through various dioramas with your guide, and.. you end up laughing  at his", April 2018,"Candiru, Shrunken Heads, and guinea pigs!"
ssusansteph,"Quito, Ecuador","We were taken there as part of our Welcome To Quito Orientation package with World Teach. We stopped unfortunately briefly outside the other Mitad Del Mundo site before being taken to this one, a cheaper, tackier imitation with small, tasteless exhibits , regular dances by", October 2017,A bit tacky and the place buys into every preconception you have about Ecuador
lightningboy,"Surrey, Canada","It took about 45 minutes to get there from Old Town on a Sunday morning. We took a taxi but not metered, and it cost $20. We visited Mitad del Mundo first (you can see my review). As you leave the main entrance of la Mitad del Mundo, turn left and walk along the road for 200m.", May 2018,00 00’ 00” latitude
nzTrina,"Auckland, New Zealand","We went here as we'd read that it was the 'real' location of the equator line. While this is true, there is so much more to this activity! You pay a small entrance fee, and are then given a guided tour throughout. The guide explains about many different Ecuadorian traditions and", April 2018,Must visit!!!!!
Michael M,"Needham, Massachusetts","Kinda kitshy, but better than the drive into the entrance and the entry into the attraction suggested. Especially next to the Middle of the World attraction, which looks much more ""professional"" and ""official.""", March 2018,This is the real one -- GPS Confirmed
Steve G,"Jersey, United Kingdom",Was a stop on a city tour.  Not sure what to expect but certainly was not this.    Reminded me of a kiddies park; amusing enough but not somewhere I would recommend., April 2018,Would be good for children....
Laura B,"Seattle, Washington","Enjoyed this site as had a great tour guide, it made me think of being on the Jungle boat ride at disney cause they have some pretty cheesy lines but they also provide very interesting facts and the my 15 year old was entertained and learned something at the same time. If you", April 2018,Interesting and fun center of the earth
kinderjude,"Fremont, California","This Museum has great guides who speak your native language and interesting and fun activities that prove you are really at the equator. Much better than the big ""theme park"" Mitad del Mundo"" next door!", March 2018,The REAL Mitad del Mundo
CoolBrewster,"Nashville, Tennessee","This is supposed to be the 'real' Mitad del Mundo line as opposed to the official government sponsored one about 400m away.  It probably isn't and exact location either; it is tacky, but fun.  And the native exhibits are very interesting.  Make sure you have an", March 2018,Must do Equator visit.
Ronald Q,"Queens, New York","A lot of people who go to Ecuador want to go to the middle of the world.  I was one of them.  Little did I know there were 2, a real one and fake one.  This one in the Intinan Museum is considered the real one.  I truly enjoyed the tour and the tour guide made it interesting and", August 2017,Feels like History and Science class but fun
galapaguito5,,"There are so many experiments you can be part of during your visit that you just don't want to finish you visit. At the end you can also get a certificate of accomplishment, if you get to balance the egg on the head of the nail, I got mine!", April 2018,Love this interactive museum
Kathryn S,"Fort Collins, Colorado",This museum is worth a visit because it is so unique.  Our museum guide did a great job of explaining all the exhibits -- some which center around tribes of Ecuador.  The egg balancing on a nail and other experiments were fun to try (and exciting to accomplish)., March 2018,Only on the Equator
PointsWellTaken,"Potomac, Maryland","Our guide was fun and enthusiastic.  I have no doubt that the ""experiments"" are not real, but the information was interesting, it was cheap enough ($4 for the English tour) and it was a fun way to spend an hour.  And our picture standing on the Equator is priceless!", March 2018,Kitschy But Fun!
IAHMom,,"It is $4 per person to enter for a guided tour. We decided to all go and hear about the clockwise verse counter clockwise water flow.  We did find the tour a little on the long side but it did have a lot of information about history and facts.  Relax, take it all in and see if", April 2018,Interesting Guided Tour
Lee L,"Valhalla, New York","This museum claims to be right on the equator, as does the one next door.  According to Lonely Planet while close, neither one is actually on the equator.  That being said this was very interesting.  They have a guided tour, at least in English and Spanish. We had a really good", February 2018,Interesting
Mark S,"Denver, Colorado","This is a fun place to stop in the equatorial region near Quito. The museum has a touristy feel to it and the forced tour is full of questionable scientific claims. That being said you can learn more about the native Ecuadorians as well as their famous export, cacao. ", March 2018,A museum that states it is on the equator
SFlurry,"Saint Leonard, Maryland","This museum is tucked back from the road, so it's easy to miss with the giant commercial museum next door! You get a personal tour with your ticket, but can then linger and go back through. Lots of interesting historical facts and equatorial demonstrations. Don't miss it!", March 2018,Small but worth a look for sure!
Leslie P,"Los Angeles, California","We went here with our two teenage sons.  We all really enjoyed the visit.  This was about 60-90 minutes well spent.  Our guide was really energetic and interesting, and their is some fun stuff to see/learn (alpacas, native dance, shrunken heads, equator experiments).  It's a fun", April 2018,We loved this!
MariaTe15,"Quito, Ecuador","The museum is very close to the Mitad del Mundo Complex, so you can visit the 2 sites in one trip. It is interesting and you also can practice very funny gravity forces tests. They claimed to be in the exact place of the ""half of the world line""", March 2018,Interesting and funny!
Escape-overseas,"Stevenage, United Kingdom","This museum is at the Centre of the World, sitting on the equator according to GPS. Indeed some interesting experiments illustrate the effects on eith side of the equator, compared with directly over it. Water really does rotate in opposite directions around the plug hole, with", March 2018,Well worth the visit.
D P,"Colchester, United Kingdom",Such good value for money and brilliant fun.  Informative tour ( included in entry).  Really great place to go to.  We struggled to find it initially so here’s directions  If you stand with your back to the Mitad del Mundo entrance behind you turn left.  Don’t cross the road. , March 2018,Brilliant 
cvcalifornia,California,"Hilarious that they built a multi-million $ center almost next door and with GPS found that THIS is the true Latitude 00, 00,00!  Outdoors funky museum with silly demonstrations of magnetic forces northern/southern hemispheres. Enthusiastic guides. Small but well priced gift", March 2018,Hahahahahaaha!
Franklin W,,I will admit the tour can feel a bit campy but it is highly entertaining and educational. The guides seem to love their jobs. I'll upload videos of some of the scientific experiments soon LOL! A must see if you or your friends have not visited the equator. More fun than the, March 2018,llent tour.
fheagle,"Kearny, New Jersey","Ecuador which is Spanish for Equator is located in both the northern and southern hemispheres. This is a great place to view the Equatorial line. You can try to balance an egg, watch water drop straight down on the Equator and swirl clock wise or counter clock wise depending on", March 2018,Your on The Equator
travelrads,"New York City, New York",Small outdoor museum on the equator.  Learn some interesting facts about the equator. Some information about Ecuadorian culture. Nice shop to buy tapestries., March 2018,Interesting
Vegas_Odyssey,"Las Vegas, Nevada","My husband and I visited this museum on our tour of Ecuador.  The museum was about all of Ecuador and its history, not just the equator. There were exhibits on the Amazon, indigenous animals,  tribes, making cacao etc... The museum has guides that take small groups (ours was 7)", February 2018,Nice museum on the actual equator
Uptownfoody,"Toronto, Canada",Great place to feel the gravity of the Equator. Wonderful place for keepsake photos. Also a cultural experience of Ecuadorian history., March 2018,Must see
Thumper2u2,"Deer Park, Texas","Our driver recommended stopping here which I'm glad he did.  We had a local tour guide that spoke English very well. The tour was captivating, entertaining and educational to say the least.  Don't be sucked in by the Middle of the World monument that down the street.  This place", February 2018,Must see
mango_eater,"Washington DC, District of Columbia",We saw this on our Gray Line tour. The experiments on the equator line were really neat. I was certified as an egg master for balancing an egg on a nail!  At the end of the tour you can get a stamp in your passport. This was much better than the first Middle of the World, March 2018,Must see and bring passport for stamp
Glen L,,"The truest guides are the best value there. Our guide made it so interesting as we went to each of the places in the relatively small area, I gladly would recommend this site. ", March 2018,Fascinating!  Educational!
Maude N,"Salt Lake City, Utah","Near Quito we visited this outdoor museum with much to see and do:  a variety of totem poles, stone structures, cactus, colorful flowers, and interesting experiments having to do with the equator.  Exhibits gave insight into the customs, rituals and tradition of rural life. Also", January 2018,Straddle the Equator!
Timothy L,"Yorktown Heights, New York","I am not a professional scientist, but I did some background research before we visited this spot on the equator.  All of the ""stunts"" that the staff presents along the line of the equator are fake: the egg yolks, the water circulating in a bowl, walking along the equator and", January 2018,A tourist rip-off
anonymous842,calgary,"Funny, fact filled tour with demonstrationss of the equator effect. Good luck when you try balancing the egg. ", February 2018,Great guide will explain it all.
Silke D,,"The museum is a bit hidden, you need to walk away from the Disneyland park called Ciudad Mitad del Mundo. We loved the experiments, although the real equator line is located in a field next to it. Would recommend it! ", March 2018,Great museum
danymv,"Quito, Ecuador",It is a very interesting visit learning about indigenous cultures in Ecuador (country) and experimenting aroun the equator (line)., February 2018,Funny way to visit the middle of the world!
MaggieSEUnitedStates,SE United Sates,"Delightful combination of information about Ecuadorian culture/tribes and fun/interactive attributes of being on the Equator.  Definitely get a guide; ours was lively, full of interesting information, and enthusiastically led us through a group of Equator-based ""experiments""", February 2018,Educational and fun....
Emilbloo,"Puerto Lopez, Ecuador","In one location, you learn some of Ecuador's history - shrunken heads (how and why were they made), historical migration, ancient burial practices - and have fun at the true equator. Attempt to walk a straight line at 00' 00' 00', balance egg on nail, etc. My guide was bilingual", May 2017,History and equator fun all mixed into one
HunterDC13,"Fort Lauderdale, Florida",You do actually need to go see the true equator and get your pictures.  The guides are very nice and there a plenty of photo-ops.  The water and egg stuff is a little gimmicky but actually fun and informative.  It's right near the huge monument so you might as well go to both., February 2018,Gimmicky but....
Ellen P,"Boston, Massachusetts","This is a small private outdoor museum, with walking tours given in English or Spanish.  The science experiments shown were pretty fascinating to explain properties of the equator that you won't see elsewhere.  The ""shrunken head"" exhibit was a bit ghoulishly interesting as", February 2018,Educational and a bit of fun!
Amanda,"Hawthorne, New Jersey","This really is a must-do in the Quito area. Not only is just being at the equator interesting in and of itself, there are some fun experiments to here as well. Get a guide, as it really enriches the experience, and don't forget to get a passport stamp!", November 2017,Must Visit!
Stephen WA,"Ashbourne, United Kingdom","My wife and I toured here in February 2018. I had been before, but this was her first visit. Definitely take a tour guide - we’ll worth the tip they work for. $4 each to get in.  You’ll see old homes, the process of chocolate-making, shrunken heads (yes really), as well as the", February 2018,Interesting exhibits and the 00 00 00 line
Anuraga R,"Airdrie, Canada","A nice way to remember some of your school physics experiments. With some insight into the history and indigenous culture, this was an overall interesting visit.", February 2018,Fun!!
rubygirl6,"Baxter, Minnesota","Who knew the equator was so powerful?  We were so very impressed by the amount of information about Ecuador, its history, native tribes, native plants and animals, and the effect the equator has on water, human strength and balance!  Our tour guide was very knowledgeable and", April 2017,We learned so much!!
LivingThe Q,"Colorado Springs, Colorado","One of the things that we really enjoyed during our visit to Quito, Ecuador, was going to the true equator and participating in several experiments. The first experiment was to close your eyes and walk along the equator line. Oddly enough, everyone found it hard to keep their", September 2017,Interesting Science Experiments
rasilver19,"Boston, Massachusetts",Standing on the equator is a must do in Quito! Our guide was great and explained everything. They show you different experiments on the actual equator. Where else can you be in both the Northern and Southern Hemisphere at the same time. , February 2018,A must do!
NCarvill,"Los Angeles, California","Extremely well done exhibit space and learning experience.  Fortunately, English-speaking guides available so one didn't lose out of learning so very much about being in the ""Center of the Earth"".", February 2018,A must-see learning experience!
Kathleen L,United States,"Although the monument to the Equator is only a short distance away, this museum give you much more insight into exactly what and how the equator works and impacts the world.", February 2018,Better than the Ciudad Media del Mundo
jjorchard,"St. George, Utah",When we pulled up to this place I didn't have high hopes from the look of it but it turned out to be one of my favorites stops in Quito! Fun to learn about the natives and shrunken heads. All of the little demonstrations at the equator line were very cool even for me! Also, January 2018,Surprisingly cool!!
Robin C,"Sherborn, Massachusetts",Great place and just a $4 entrance fee!  Very interesting hands on tour!  The guide was great!  Highly recommend., January 2018,Great place!
Linda R,"Southborough, Massachusetts","While I really enjoyed walking Quito, this exhibit was the top thing we did while in the area.  The entrance price is super reasonable and the English speaking guide was fantastic.  The experiments were really good and proved the equator physics.  The tour also includes", February 2018,Best thing we did in Quito
Sam C,"Hong Kong, China",English speaking guide is provided and you need to pay US$4 per person. The tour lasts for around an hour and the information and exhibition are quite interesting., February 2018,Worth to check out
Sjors P,"Maastricht, The Netherlands","We had Claudia as a guide, and she a scientificer was the best guide we could wich for. Her english was really good, and she explained us very well what the implication were of the magnetic forces from the ecuator line. She showed us with some interesting experiments. ", February 2018,Amazing Physics experience!
kgrom2009,California,So happy we skipped going to the massive mitad Del Mundo and went to the Intinan.  Since we didn’t go to the mitad I can’t say if this is better or worse.  This was more our speed; it felt more intimate and not so touristy.  Our tour guide was David and he was great and tried to, February 2018,A must see!
Malcolm,"Jerusalem, Israel",A very interesting place. Must take a guided tour in order to get a lovely expirience in the ecuator ponts of Ecuador. , February 2018,Very interesting
Rachel D,,"We visited Intinan after visiting Mitad del Mundo (if you're in the area, I'd recommend visiting both!). Intinan claims to host the 'true' equator as confirmed by GPS, whereas Mitad del Mundo monument was set up where the French explorers discovered it 200 years ago.  Intinan", November 2017,"Don't believe all the equator 'experiments', but definitely fun to visit!"
Scott H,,There are two museums right next to each other and this is the real one. The other has a monument and isn't exactly the equator. This one has tour guides who will do experiments with you. One of them is you watching a portable sink drain water and it swirls different ways, January 2018,This is the real museum!
Aina Ainur,"Almaty, Kazakhstan",We were sooooo surprised with the facts that we learned in that museum. Never knew you can/can’t do several things at equator line. All our group from all over the world were curious and excited. Defenetly must visit in Ecuador!, February 2018,Must visit in Quito 
Bette S,"New York City, New York","For a small fee, they have a little exhibit and tour that I actually found very interesting (usually I hate tours). The whole thing is like 40 minutes and they take pictures of you on the equator. Very fun.  At the end, they wills tamp your passport that you've been to the", July 2017,BRING YOUR PASSPORT!
Plant_Girl_11,"New Plymouth, New Zealand","Definitely go to this place, by far one of the most interesting museums I’ve been to, although I’m not sure I’d call it a museum. See how the natives used to live, including their processes for making shrunken heads. Excellent explanation of how being on the equator affects many", February 2018,Absolute must!
ChiCookie,"Chicago, Illinois","We hired a driver to take us to the Intinan Museum at Mitad del Mundo. We joined a tour group with an excellent guide, who showed us several exhibits illustrating the life of the indigenous people (including shrunken heads!) before bringing us to the line of the Equator. There", December 2017,Our son loved balancing an egg on the equator
Allan & Amy T,"Edmonton, Canada",This is a good place to learn about the equator  You can balance a raw egg on a nail  You can pull your partners outstretched muscle arms with two fingers effortlessly  Absolutely no turning of the water as watching the stream of water draining straight down instead of the usual, February 2018,We did not learn this in science
ATL_Jacket,"Eugene, Oregon","The Intinan Museum is the alternative Mitad del Mundo monument, sited at the true location, determined by GPS. The cite is a mix of historic information about Ecuador and tacky tourist stuff and illusions. Honestly, I wouldn't recommend either middle of the world monument, but", January 2018,Alternative Middle of the World
Jacquelyn J,,"I wasn't expecting much out of this visit, but honestly I loved our tour. Our tour guide gave a very informative tour with facts that tourists actually care about. He also had us participate in some hands on activities that helped make the points he was touching upon. If you're", January 2018,Surprisingly Informative
Richard G,"Stamford, United Kingdom",We visited the site as part of an organised tour of Quito by Celebrity. The local guide was really informative and some of the demonstrations were quite amusing., November 2017,Another bucket list tick in the box
Lisa N,"Los Angeles, California",Our hotel set us up with a cab driver so it was $50 from the city for 3 of us. The entry at the museum was $4 each and totally worth it. The tour takes about an hour. You learn the science of the equator by them conducting experiments in which you participate showing you how the, January 2018,Do not miss
Kathryn M,,"I went to this museum as part of the Community Adventures tour to the Ecuator line (good deal and convenient way to see this - recommended!). The Intinan museum is fabulous - they shared a variety of information about culture and nature in the Ecuador region, as well as", December 2017,Excellent museum; the best way to experience and understand the Ecuator line!
Lee45900,"Chapala, Mexico","This tour was the highlight of my stay in Quito. The information about the indigenous peoples, flora, and fauna just added to the fun with the scientific demonstrations provided by our knowledgeable and interesting guide. The tour was only $4.00 USD. There were souvenirs and", January 2018,"Fun, Informative, Accurate, and I Got to Pet a Llama"
AMB&JAS,"Alexandria, Virginia","My sister, brother-in-law, and I visited here on December 27, 2017.  At first I thought it might be a tourist trap, but I found this museum to be informative and fun.  I forget the name of our guide, unfortunately, but he was terrific.  I enjoyed watching him grind cacao into", December 2017,Excellent!
Ellaura C,, the entrance is incredible obscure. Even after driving into its parking lot you feel like you may not be in the right place. Fun and informative activities. Get to have your passport stamped on the more accurate equator , January 2018,Worth the visit 
Mary G,St. Croix,"Our taxi driver recommended we go here before the other Mitad del Mundo because it’s 1) on the actual Equator and 2) it’s a more intimate and educational experience. He was exactly right! Our tour group was small, about 12 people. Our guide, Ybeth, was really fun and very", January 2018,"Excellent, informative and fun"
np234,,"This was the actual equator line. They have lots of cool experiments to teach you about how stuff acts on or on either side of the equator, but you can't see it alone. Mandatory guided tour that was neat but not very necessary. ", January 2018,Worth a visit
tracyrocks,"Brooklyn, New York",My boyfriend and another couple came here for a quick visit while en route to UIO to head to Galapagos in October 2017.  This was someplace I wanted to see while only having 5 hours of free time in Quito and upon recommendation from the owner at Blue Door House (Alejandro) he, October 2017,"Super Cool place to visit and ""play"" at"
Melanie L,"Longueuil, Canada","We went here, because our taxi driver thought we would like it. This was really fun. The kids loved it and we learned so much about Ecuador and the Ecuador line. It was a great experience. The guide was very knowledgeable and very funny. Definitely recommend going here we liked", December 2017,Very informatif and so much fun
